Point ID,arc_length,DVM_Density,DVM_HeatFlux_0,DVM_HeatFlux_1,DVM_HeatFlux_2,DVM_HeatFlux_Magnitude,DVM_PressureXX,DVM_PressureXY,DVM_PressureXZ,DVM_PressureYY,DVM_PressureYZ,DVM_PressureZZ,DVM_RelaxationFactor,DVM_Temperature,DVM_Velocity_0,DVM_Velocity_1,DVM_Velocity_2,DVM_Velocity_Magnitude,ElemTime,Points_0,Points_1,Points_2,Points_Magnitude,vtkValidPointMask
0,0,1.05179e-06,-8.74159,7.24863,0,11.356,0.0799536,-0.0228579,0,0.0938694,0,0.0816662,0.060094,388.822,-0.586193,-382.269,0,382.269,0,-0.45,0,0,0.45,1
1,0.1,9.38005e-07,-6.61149,5.39711,0,8.53467,0.0798615,-0.0233374,0,0.0945136,0,0.0827716,0.0551047,438.818,0.302698,-286.928,0,286.928,0,-0.35,0,0,0.35,1
2,0.2,8.78131e-07,-4.61716,3.79663,0,5.97768,0.0798988,-0.0231961,0,0.0951568,0,0.0832832,0.0524316,470.912,0.120856,-201.232,0,201.232,0,-0.25,0,0,0.25,1
3,0.3,8.44438e-07,-2.73423,2.26312,0,3.54933,0.0798937,-0.0231532,0,0.0954359,0,0.0834885,0.0508973,490.61,0.0773275,-119.404,0,119.404,0,-0.15,0,0,0.15,1
4,0.4,8.29183e-07,-0.906585,0.753751,0,1.179,0.0798955,-0.0231246,0,0.0956026,0,0.0835779,0.0501993,500.134,0.0199692,-39.6205,0,39.6205,0,-0.05,0,0,0.05,1
5,0.5,8.29183e-07,0.906585,-0.753751,0,1.179,0.0798955,-0.0231246,0,0.0956026,0,0.0835779,0.0501993,500.134,-0.0199692,39.6205,0,39.6205,0,0.05,0,0,0.05,1
6,0.6,8.44438e-07,2.73423,-2.26312,0,3.54933,0.0798937,-0.0231532,0,0.0954359,0,0.0834885,0.0508973,490.61,-0.0773275,119.404,0,119.404,0,0.15,0,0,0.15,1
7,0.7,8.78131e-07,4.61716,-3.79663,0,5.97768,0.0798988,-0.0231961,0,0.0951568,0,0.0832832,0.0524316,470.912,-0.120856,201.232,0,201.232,0,0.25,0,0,0.25,1
8,0.8,9.38005e-07,6.61149,-5.39711,0,8.53467,0.0798615,-0.0233374,0,0.0945136,0,0.0827716,0.0551047,438.818,-0.302698,286.928,0,286.928,0,0.35,0,0,0.35,1
9,0.9,1.05179e-06,8.74159,-7.24863,0,11.356,0.0799536,-0.0228579,0,0.0938694,0,0.0816662,0.060094,388.822,0.586193,382.269,0,382.269,0,0.45,0,0,0.45,1
